"","player_name","cluster"
"351","Aaron Wilkerson",5
"352","Kendrys Morales",5
"353","Jake Faria",5
"354","Bobby Poyner",5
"355","Austin Davis",5
"356","Jose Manuel Fernandez",5
"357","Jeff Hoffman",5
"358","Dillon Maples",5
"359","Justus Sheffield",5
"360","Enyel De Los Santos",5
"361","Derek Law",5
"362","Juan Minaya",5
"363","Jimmie Sherfy",5
"364","Sandy Baez",5
"365","Adam Plutko",5
"366","Chance Adams",5
"367","Tommy Milone",5
"368","Hector Santiago",5
"369","Austin Voth",5
"370","Brian Johnson",6
"371","Brad Brach",6
"372","Edwin Diaz",6
"373","Josh Hader",6
"374","Brock Stewart",6
"375","Amir Garrett",6
"376","John Gant",6
"377","Tyler Kinley",6
"378","Nick Burdi",6
"379","Randy Rosario",6
"380","Ryan Pressly",6
"381","Hector Neris",6
"382","John Brebbia",6
"383","David Hess",6
"384","Scott Oberg",6
"385","Daniel Hudson",6
"386","Junior Guerra",6
"387","Justin Miller",6
"388","Luke Bard",6
"389","Kyle Freeland",6
"390","Yimi Garcia",6
"391","Brad Keller",6
"392","Joakim Soria",6
"393","Ken Giles",6
"394","Taylor Rogers",6
"395","Seth Lugo",6
"396","Jameson Taillon",6
"397","Nate Jones",6
"398","Brad Hand",6
"399","Carlos Rodon",6
"400","Jhoulys Chacin",6
"401","Jose Berrios",6
"402","Julio Teheran",6
"403","Tayron Guerrero",6
"404","Jacob deGrom",6
"405","Miles Mikolas",6
"406","Jordan Zimmermann",6
"407","Mike Fiers",6
"408","Luis Castillo",6
"409","Jose Urena",6
"410","Andrew Cashner",6
"411","Chris Sale",6
"412","Andrew Miller",6
"413","Alex Reyes",6
"414","Hunter Strickland",6
"415","Fernando Rodney",6
"416","Taylor Williams",6
"417","Pedro Baez",6
"418","Mike Dunn",6
"419","Zac Rosscup",6
"420","Robert Stock",6
"421","Liam Hendriks",6
"422","Hector Rondon",6
"423","Matt Festa",6
"424","Hansel Robles",6
"425","Matt Harvey",6
"426","Matthew Boyd",6
"427","Jose Leclerc",6
"428","Will Smith",6
"429","Daniel Norris",6
"430","Mychal Givens",6
"431","Seranthony Dominguez",6
"432","Kelvin Herrera",6
"433","Alex Wilson",6
"434","Luis Garcia",6
"435","Jesse Biddle",6
"436","Kenta Maeda",6
"437","Mike Mayers",6
"438","Reyes Moronta",6
"439","Justin Anderson",6
"440","Tony Sipp",6
"441","Juan Nicasio",6
"442","Robbie Erlin",6
"443","Adalberto Mejia",6
"444","Tim Mayza",6
"445","Trevor May",6
"446","Stephen Strasburg",6
"447","Aaron Sanchez",6
"448","Pablo Lopez",6
"449","Brandon Woodruff",6
"450","Adam Morgan",6
"451","Reynaldo Lopez",6
"452","Jimmy Yacabonis",6
"453","Felix Pena",6
"454","Felipe Vazquez",6
"455","Ryan Brasier",6
"456","Luis Cessa",6
"457","Daniel Stumpf",6
"458","Luis Avilan",6
"459","Martin Perez",6
"460","Lucas Giolito",6
"461","Wei-Yin Chen",6
"462","Adam Warren",6
"463","Wandy Peralta",6
"464","Patrick Corbin",6
"465","Frankie Montas",6
"466","Dylan Bundy",6
"467","Zack Wheeler",6
"468","Jon Gray",6
"469","Neil Ramirez",6
"470","J.A. Happ",6
"471","Rick Porcello",6
"472","Carlos Carrasco",6
"473","Arodys Vizcaino",6
"474","Francisco Liriano",6
"475","Pedro Araujo",6
"476","Ivan Nova",6
"477","Kyle Crick",6
"478","Chris Archer",6
"479","Aaron Brooks",6
"480","Domingo German",6
"481","Julio Urias",6
"482","Caleb Smith",6
"483","Sean Reid-Foley",6
"484","Edubray Ramos",6
"485","Anthony Swarzak",6
"486","Zach Eflin",6
"487","Kyle Gibson",6
"488","Jordan Lyles",6
"489","Kevin Gausman",6
"490","Connor Sadzeck",6
"491","Matt Wisler",6
"492","Dennis Santana",6
"493","Dan Straily",6
"494","Jake Petricka",6
"495","Drew VerHagen",6
"496","Evan Phillips",6
"497","Ervin Santana",6
"498","Jaime Barria",6
"499","Tyler Webb",6
"500","Heath Fillmyer",6
"501","Victor Arano",6
"502","Jake Jewell",6
"503","Jefry Rodriguez",6
"504","Paul Sewald",6
"505","Drew Anderson",6
"506","Luis Perdomo",6
"507","Emilio Pagan",6
"508","Mike Soroka",6
"509","Fernando Romero",6
"510","Jacob Rhame",6
"511","Chris Flexen",6
"512","Adrian Houser",6
"513","Zac Reininger",6
"514","Austin Pruitt",6
"515","Matt Magill",6
"516","Danny Duffy",6
"517","Ariel Jurado",6
"518","Mike Foltynewicz",6
"519","Ben Lively",6
"520","Yefry Ramirez",6
"521","Michael Feliz",6
"522","Dan Jennings",6
"523","Thyago Vieira",6
"524","Evan Marshall",6
"525","Charlie Culberson",6
"526","Mike Morin",6
"527","Tyler Beede",6
"528","Cody Reed",6
"529","Luke Gregerson",6
"530","Burch Smith",6
"531","Ryan Carpenter",6
"532","A.J. Cole",6
"533","Hernan Perez",6
"534","Andrew Suarez",6
"535","David Hale",6
"536","Anthony Bass",6
"537","Clayton Richard",6
"538","James Norwood",6
"539","Zack Littell",6
"540","Matt Bowman",6
"541","Alex McRae",6
"542","Brian Flynn",6
"543","Nick Tropeano",6
"544","Yacksel Rios",6
"545","Miguel Diaz",6
"546","Paul Blackburn",6
"547","Ranger Suarez",6
"548","Luis Ortiz",6
"549","Sean Gilmartin",6
"550","Daniel Descalso",6
